Contract adress	Token ID	V/F
0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB	1	V
0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB	1000	V
0x64931F06d3266049Bf0195346973762E6996D764	740	V
0x64931F06d3266049Bf0195346973762E6996D764	292	V
0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D	9274	V
0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D	2687	V
0xBd3531dA5CF5857e7CfAA92426877b022e612cf8	5597	V
0xBd3531dA5CF5857e7CfAA92426877b022e612cf8	8459	V
0xe785E82358879F061BC3dcAC6f0444462D4b5330	4237	V
0xe785E82358879F061BC3dcAC6f0444462D4b5330	2053	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	40021176149709825850022050212743607141213325856229775655480585341763709829121	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	40021176149709825850022050212743607141213325856229775655480585340664198201345	F
0x495f947276749ce646f68ac8c248420045cb7b5e	68128002857422805583013806960501463535381467000216369719658551338048375750657	F
0x495f947276749ce646f68ac8c248420045cb7b5e	98026534009363157054788497800574208850174608732885171209198718908849713053697	F
0x2953399124f0cbb46d2cbacd8a89cf0599974963	109187190453121201271650808588172028381542416851704706632395628130275564716044	F
0x495f947276749ce646f68ac8c248420045cb7b5e	14842930672306685415758205929631665932142134509743519987343855255142870810625	F
0x4cBE3724cAF315da7e2B08084aFb7A34CFBa2398	514	V
0x495f947276749ce646f68ac8c248420045cb7b5e	102876046766516814375887710841279867966866509361583659394795479520997514674177	F
0x495f947276749ce646f68ac8c248420045cb7b5e	40320363797662230735878504346961507628508005011297113982907502983594230415361	F
0x495f947276749ce646f68ac8c248420045cb7b5e	112044904233472648461597897974434982420329966890583405159506723365054861803521	F
0x495f947276749ce646f68ac8c248420045cb7b5e	43758794250234192188553439057935539872575918329819015340020430411026546032641	F
0x2953399124f0cbb46d2cbacd8a89cf0599974963	670450190471280060710954984719024720941266701438335872135542255446099243720	F
0x495f947276749ce646f68ac8c248420045cb7b5e	24913294724164198605805910092331045591910551383015558573360603482998762897409	F
0x495f947276749ce646f68ac8c248420045cb7b5e	54376477365042831694076225437146854225839812795059010587517922746489026641921	F
0x2953399124f0cbb46d2cbacd8a89cf0599974963	96170200172564873500295593759760080034337236193015578736630134591255566352385	F
0xec516efecd8276efc608ecd958a4eab8618c61e8	4480	V
0xe41161b8692a2f8aeda6b85d5b92ec6f5724ced7	365	V
0x4d33b3cbd5c8971a67d8f555c73a7ca740c498bd	6787	F
0x152888f51beec20975124da76dfa35ba539bbc2d	83	F
0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6	4225	V
0x1CB1A5e65610AEFF2551A50f76a87a7d3fB649C6	559	V
0x635CAf7C582641C7780d14A9559edf75C858c072	4225	F
0xba30E5F9Bb24caa003E9f2f0497Ad287FDF95623	2440	V
0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B	16977	V
0x49cF6f5d44E70224e2E23fDcdd2C053F30aDA28B	12252	V
0x0c56f29B8D90eea71D57CAdEB3216b4Ef7494abC	15689	V
0x0c56f29B8D90eea71D57CAdEB3216b4Ef7494abC	15189	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	33057581581890475673659982806183577281015071726457281636832529286702057914369	F
0x3d1E3bb7d669C8a96D7a606Ea241060c5Ec9cE6a	13	F
0x524cAB2ec69124574082676e6F654a18df49A048	13571	V
0xbDdE08BD57e5C9fD563eE7aC61618CB2ECdc0ce0	6000346	V
0x8821BeE2ba0dF28761AffF119D66390D594CD280	8565	V
0x978E4915C3a310C8725D3f8c24Ce873484d0AC34	92	V
0xE5B03b0E8cE726d00dF164165767EA68d51B6850	1	F
0xBd3531dA5CF5857e7CfAA92426877b022e612cf8	5910	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	3642975230110225785701496934298379649310470850627954994466652576593037230081	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	11006267601571840661815416617629607740655465782257532403451045094689836367873	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	95041836124120233483729028283372100141115776094951527918558719341639982120961	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	40215280965255643286036880633876771059227150569479714721657421655811630825473	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	40215280965255643286036880633876771059227150569479714721657421671204793614337	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	40215280965255643286036880633876771059227150569479714721657421628323840131073	F
0x0799590A1BC08695111A5a72BbA87297531099E1	1568	V
0x7Bd29408f11D2bFC23c34f18275bBf23bB716Bc7	19712	V
0x23581767a106ae21c074b2276D25e5C3e136a68b	1659	V
0x23581767a106ae21c074b2276D25e5C3e136a68b	5351	V
0x39D3230c84EFCB5559D22F499151934476B5c16d	308	V
0x990eB28e378659b93A29D46fF41F08DC6316DD98	230619	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	72128101939258565771664964377355881574373941480583879990405294150881615282177	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	72128101939258565771664964377355881574373941480583879990405294154180150165505	F
0xB9373E7D7f54b6d722194c5609D3DE85E971cA4e	174	V
0xB9373E7D7f54b6d722194c5609D3DE85E971cA4e	64	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	79057610344697608252928942283937919389615892139411144090173997063102131077121	F
0x2953399124F0cBB46d2CbACD8A89cF0599974963	79860721899891373286061363264887009073309127328195258923669546626951331971073	F
0x41f20599e9e049004C4d169046eb7023117a6244	14865	V
0x41f20599e9e049004C4d169046eb7023117a6244	5294	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	23503254871503141073582441315863122727356874136520304361170100693753625837569	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	23503254871503141073582441315863122727356874136520304361170100694853137465345	F
0xf8c4030abd81eB1Eb3564d7904D4F3dDA4885ADF	3775	V
0xEB4b39C652E7FEEE06C94F32dE1024D7Afb1D71B	29	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	107681586130635851379788047178493044856461104042989100482912416264110758428673	V
0x1562e3428ed1d6CDBdb1695Cc505AbA33AB4Ea5e	432	V
0xd3cD44f07744da3A6e60a4b5fdA1370400Ad515b	7113	V
0xd3cD44f07744da3A6e60a4b5fdA1370400Ad515b	7664	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	70883503234643379025467866937584169186633712880680534476648098261448339226625	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	70883503234643379025467866937584169186633712880680534476648098263647362482177	F
0xAa3571337A0EC16C926bDe57CA4B871ADc5ee886	351	F
0xAa3571337A0EC16C926bDe57CA4B871ADc5ee886	312	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	69148936491253708497156314951101642445679739563785770007668403318816801554433	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	69148936491253708497156314951101642445679739563785770007668403312219731787777	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	20669106043232436742481438964644892640714890699588941151472407882180555964417	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	20669106043232436742481438964644892640714890699588941151472407885479090847745	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	56685760477045004793972724229340420129790063059136279868280112669093733072897	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	56685760477045004793972724229340420129790063059136279868280112673491779584001	V
0xe6Ea485c426B00166cEE5543d610BBaAeE154FbE	204	V
0xe6Ea485c426B00166cEE5543d610BBaAeE154FbE	696	V
0xc1Caf0C19A8AC28c41Fe59bA6c754e4b9bd54dE9	1260	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	84823889240954675335128669285617732852789849137528365654071885226065189142529	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	84823889240954675335128669285617732852789849137528365654071885222766654259201	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	23454874496326082751230642210503912529347837994872914812256794980359954497537	F
0x306b1ea3ecdf94aB739F1910bbda052Ed4A9f949	18436	V
0x306b1ea3ecdf94aB739F1910bbda052Ed4A9f949	769	V
0x7f713B37712519D104E6aE73646856FcEc40B64D	3787	F
0x7f713B37712519D104E6aE73646856FcEc40B64D	3786	F
0x79Aa05963c92A2a10d96bD840Eb5e73a1E675E92	4501	V
0x79Aa05963c92A2a10d96bD840Eb5e73a1E675E92	4686	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	81352027921636284020689300749587764807129889703630833957402944200689793892353	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	81352027921636284020689300749587764807129889703630833957402944199590282264577	F
0xC5254C5419390e460cd7DF6556f28390C184F76d	3	V
0xC5254C5419390e460cd7DF6556f28390C184F76d	5	V
0xA12C6Af626218Ae1b3341771Ab1A657B44050e7a	654	V
0xA12C6Af626218Ae1b3341771Ab1A657B44050e7a	964	V
0x2953399124F0cBB46d2CbACD8A89cF0599974963	74899437171559244233824178455163294481270669633468213209210366239955637764097	F
0x5b1085136a811e55b2Bb2CA1eA456bA82126A376	59729	V
0x5b1085136a811e55b2Bb2CA1eA456bA82126A376	53958	V
0xF419CdbaCdE81a94378c8168059a7526d7779F98	5741	V
0xF419CdbaCdE81a94378c8168059a7526d7779F98	6000	V
0x5a165fb38beAEbDb74eEB2ea6Ff8aa9F1e9A0Ec0	2	F
0x5a165fb38beAEbDb74eEB2ea6Ff8aa9F1e9A0Ec0	1	F
0x06588A87485B11ad55B2DB8BF7345A165E19E3C8	238	V
0x06588A87485B11ad55B2DB8BF7345A165E19E3C8	133	V
0x8655882a2941247Ff6f0A56aaDa6126A82643A98	10	F
0x8655882a2941247Ff6f0A56aaDa6126A82643A98	8	F
0x4A3EE93A2853bAd1061A2711f984e71be278a623	1014	V
0x4A3EE93A2853bAd1061A2711f984e71be278a623	862	V
0x7D9cf51cb09171406e20F10a5f6365107278C121	12	F
0x7D9cf51cb09171406e20F10a5f6365107278C121	11	F
0xBa3daCCc5cD29CD58961cFB70de62dE892a5a598	6	F
0xA6Cd272874Ee7C872Eb66801Eff62784C0b13285	6038	V
0xA6Cd272874Ee7C872Eb66801Eff62784C0b13285	4626	V
0xe7bB385693616C29A9dbc45aB0195D35C8171fAA	1	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	24757268225556079283130811718665151569318453317035121778778977491016990327784	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	24757268225556079283130811718665151569318453317035121778778977485519432188004	F
0x652599872d2B2A633cDd83D394fE2fCe4DCeFc74	263	V
0x652599872d2B2A633cDd83D394fE2fCe4DCeFc74	245	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	40479553961876160682244477383739974125115672039581190735500005441255904378881	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	40479553961876160682244477383739974125115672039581190735500005444554439262209	F
0x138A5C693279b6Cd82F48d4bEf563251Bc15ADcE	18647	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	113356970985050531428173483593528358282909149347527985405474368756932946165761	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	113356970985050531428173483593528358282909149347527985405474368777823667093505	F
0x0581dDf7A136c6837429a46C6Cb7b388A3E52971	4280	V
0x0581dDf7A136c6837429a46C6Cb7b388A3E52971	1729	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	31823987234978311487127514018542145550640154260638109325048321090622236655617	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	31823987234978311487127514018542145550640154260638109325048321099418329677825	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	61767926296749021706028564359504661518595169885718309039731035479714811609089	F
0xd774557b647330C91Bf44cfEAB205095f7E6c367	2118	V
0xd774557b647330C91Bf44cfEAB205095f7E6c367	16042	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	79331945328800392540291683334592811767649565428668033505622506630592736526337	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	79331945328800392540291683334592811767649565428668033505622506627294201643009	F
0x790B2cF29Ed4F310bf7641f013C65D4560d28371	63828	V
0x790B2cF29Ed4F310bf7641f013C65D4560d28371	89174	V
0x9B1750e5e27b491F2e3b3Fa969e11a41f4eBb550	1327	V
0x9B1750e5e27b491F2e3b3Fa969e11a41f4eBb550	4673	V
0x68d0F6d1d99Bb830E17fFaA8aDB5BbeD9D6EEc2E	265	V
0x68d0F6d1d99Bb830E17fFaA8aDB5BbeD9D6EEc2E	294	V
0xED5AF388653567Af2F388E6224dC7C4b3241C544	2641	V
0x502f985Cf75a8F67555FD6d86F7EBb3ADd7d3B3D	486	F
0x502f985Cf75a8F67555FD6d86F7EBb3ADd7d3B3D	464	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	34526953677166615606401255874019497772427792003246650965682903709787038416897	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	34526953677166615606401255874019497772427792003246650965682903708687526789121	F
0xF9c362CDD6EeBa080dd87845E88512AA0A18c615	278	V
0xF9c362CDD6EeBa080dd87845E88512AA0A18c615	1444	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	9941593908783095468296830735161406481891404591903289691002657695583055118337	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	9941593908783095468296830735161406481891404591903289691002657696682566746113	F
0xFfa60CD831374F40358de1aA0489123935a8287D	4407	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	76594253133228894371733163509133432114800056843821934207778372762101820162049	F
0xEdB61f74B0d09B2558F1eeb79B247c1F363Ae452	1634	V
0x495f947276749Ce646f68AC8c248420045cb7b5e	9898910882781807130373468742181055788288840286832249115212820536662513680385	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	9898910882781807130373468742181055788288840286832249115212820442104513691649	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	9898910882781807130373468742181055788288840286832249115212820566349327630337	F
0x495f947276749Ce646f68AC8c248420045cb7b5e	43968160685977615213962473366167550739593514775327603928731295688808831385601	F
0xFfBa892D276e4687E44edfA9De529851559f3634	4316	V
0xFfBa892D276e4687E44edfA9De529851559f3634	5737	V
