Asset,Blockchain,Contract address,Token ID,Description,Ressources,V/F,PIC,,% V,Total
Cryptopunk,Ethereum,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,1,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/1,https://etherscan.io/address/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,V,PIC01,,50.49%,307
Cryptopunk,Ethereum,0xb47e3cd837dDF8e4c57F05d70Ab865de6e193BBB,1000,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/1000,https://etherscan.io/address/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,V,PIC02,,,
Artblock,Ethereum,0x64931F06d3266049Bf0195346973762E6996D764,740,https://opensea.io/assets/ethereum/0x64931f06d3266049bf0195346973762e6996d764/740,https://etherscan.io/address/0x64931f06d3266049bf0195346973762e6996d764,V,PIC03,,,
Artblock,Ethereum,0x64931F06d3266049Bf0195346973762E6996D764,292,https://opensea.io/assets/ethereum/0x64931f06d3266049bf0195346973762e6996d764/292,https://etherscan.io/address/0x64931f06d3266049bf0195346973762e6996d764,V,PIC04,,,
Bored Ape Yacht Club,Ethereum,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,9274,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/9274,https://etherscan.io/address/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d#code,V,PIC05,,,
Bored Ape Yacht Club,Ethereum,0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,2687,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/2687,https://etherscan.io/address/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d#code,V,PIC06,,,
Pudgy Penguins,Ethereum,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,5597,https://opensea.io/assets/ethereum/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/5597,https://etherscan.io/address/0xbd3531da5cf5857e7cfaa92426877b022e612cf8,V,PIC07,,,
Pudgy Penguins,Ethereum,0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,8459,https://opensea.io/assets/ethereum/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/8459,https://etherscan.io/address/0xbd3531da5cf5857e7cfaa92426877b022e612cf8,V,PIC08,,,
World of Women,Ethereum,0xe785E82358879F061BC3dcAC6f0444462D4b5330,4237,https://opensea.io/assets/ethereum/0xe785e82358879f061bc3dcac6f0444462d4b5330/4237,https://etherscan.io/address/0xe785e82358879f061bc3dcac6f0444462d4b5330,V,PIC09,,,
World of Women,Ethereum,0xe785E82358879F061BC3dcAC6f0444462D4b5330,2053,https://opensea.io/assets/ethereum/0xe785e82358879f061bc3dcac6f0444462d4b5330/2053,https://etherscan.io/address/0xe785e82358879f061bc3dcac6f0444462d4b5330,V,PIC10,,,
Bored Apes,Ethereum,0x495f947276749Ce646f68AC8c248420045cb7b5e,40021176149709825850022050212743607141213325856229775655480585341763709829121,https://opensea.io/assets/ethereum/0x495f947276749ce646f68ac8c248420045cb7b5e/40021176149709825850022050212743607141213325856229775655480585341763709829121,https://etherscan.io/address/0x495f947276749ce646f68ac8c248420045cb7b5e#code,F,PIC11,,,
